"","tollgate_id","time_window","direction","volume","Friday","Monday","Saturday","Sunday","Thursday","Tuesday","Wednesday","hour__8","hour__9","hour__18","hour__19","X0","X20","X40","holiday","pressure","sea_pressure","wind_direction","wind_speed","temperature","rel_humidity","precipitation","1","2","3","4","5","6"
"110",2,"[2016-09-19 08:00:00,2016-09-19 08:20:00)",0,129,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1008.3,1013.3,351,5.3,23.8,72,0.1,0,0,0,0,0,0
"115",2,"[2016-09-19 08:20:00,2016-09-19 08:40:00)",0,122,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1008.3,1013.3,351,5.3,23.8,72,0.1,0,0,0,0,0,0
"120",2,"[2016-09-19 08:40:00,2016-09-19 09:00:00)",0,98,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1008.3,1013.3,351,5.3,23.8,72,0.1,0,0,0,0,0,0
"125",2,"[2016-09-19 09:00:00,2016-09-19 09:20:00)",0,89,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1008.3,1013.3,351,5.3,23.8,72,0.1,0,0,0,0,0,0
"130",2,"[2016-09-19 09:20:00,2016-09-19 09:40:00)",0,78,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1008.3,1013.3,351,5.3,23.8,72,0.1,0,0,0,0,0,0
"135",2,"[2016-09-19 09:40:00,2016-09-19 10:00:00)",0,59,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1008.3,1013.3,351,5.3,23.8,72,0.1,0,0,0,0,0,0
"260",2,"[2016-09-19 18:00:00,2016-09-19 18:20:00)",0,55,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1011.1,1016.1,333,2.4,20.2,75,0,129,122,98,89,78,59
"265",2,"[2016-09-19 18:20:00,2016-09-19 18:40:00)",0,50,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1011.1,1016.1,333,2.4,20.2,75,0,129,122,98,89,78,59
"270",2,"[2016-09-19 18:40:00,2016-09-19 19:00:00)",0,49,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1011.1,1016.1,333,2.4,20.2,75,0,129,122,98,89,78,59
"275",2,"[2016-09-19 19:00:00,2016-09-19 19:20:00)",0,44,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1011.1,1016.1,333,2.4,20.2,75,0,129,122,98,89,78,59
"280",2,"[2016-09-19 19:20:00,2016-09-19 19:40:00)",0,49,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1011.1,1016.1,333,2.4,20.2,75,0,129,122,98,89,78,59
"285",2,"[2016-09-19 19:40:00,2016-09-19 20:00:00)",0,41,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1011.1,1016.1,333,2.4,20.2,75,0,129,122,98,89,78,59
"458",2,"[2016-09-20 08:00:00,2016-09-20 08:20:00)",0,112,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1012.6,1017.6,11,4.5,25.4,42,0,55,50,49,44,49,41
"463",2,"[2016-09-20 08:20:00,2016-09-20 08:40:00)",0,111,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1012.6,1017.6,11,4.5,25.4,42,0,55,50,49,44,49,41
"468",2,"[2016-09-20 08:40:00,2016-09-20 09:00:00)",0,112,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1012.6,1017.6,11,4.5,25.4,42,0,55,50,49,44,49,41
"473",2,"[2016-09-20 09:00:00,2016-09-20 09:20:00)",0,105,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1012.6,1017.6,11,4.5,25.4,42,0,55,50,49,44,49,41
"478",2,"[2016-09-20 09:20:00,2016-09-20 09:40:00)",0,99,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1012.6,1017.6,11,4.5,25.4,42,0,55,50,49,44,49,41
"483",2,"[2016-09-20 09:40:00,2016-09-20 10:00:00)",0,87,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1012.6,1017.6,11,4.5,25.4,42,0,55,50,49,44,49,41
"608",2,"[2016-09-20 18:00:00,2016-09-20 18:20:00)",0,77,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1013.8,1018.8,327,1.4,19.4,74,0,112,111,112,105,99,87
"613",2,"[2016-09-20 18:20:00,2016-09-20 18:40:00)",0,60,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1013.8,1018.8,327,1.4,19.4,74,0,112,111,112,105,99,87
"618",2,"[2016-09-20 18:40:00,2016-09-20 19:00:00)",0,56,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1013.8,1018.8,327,1.4,19.4,74,0,112,111,112,105,99,87
"623",2,"[2016-09-20 19:00:00,2016-09-20 19:20:00)",0,61,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1013.8,1018.8,327,1.4,19.4,74,0,112,111,112,105,99,87
"628",2,"[2016-09-20 19:20:00,2016-09-20 19:40:00)",0,27,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1013.8,1018.8,327,1.4,19.4,74,0,112,111,112,105,99,87
"633",2,"[2016-09-20 19:40:00,2016-09-20 20:00:00)",0,40,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1013.8,1018.8,327,1.4,19.4,74,0,112,111,112,105,99,87
