"","tollgate_id","time_window","direction","volume","Friday","Monday","Saturday","Sunday","Thursday","Tuesday","Wednesday","hour__0","hour__1","hour__2","hour__3","hour__4","hour__5","hour__6","hour__7","hour__8","hour__9","hour__10","hour__11","hour__12","hour__13","hour__14","hour__15","hour__16","hour__17","hour__18","hour__19","hour__20","hour__21","hour__22","hour__23","X0","X20","X40","holiday","pressure","sea_pressure","wind_direction","wind_speed","temperature","rel_humidity","precipitation","1","2","3","4","5","6"
"5",3,"[2016-09-19 00:00:00,2016-09-19 00:20:00)",1,181,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1008.2,1013.2,329,2.8,22.2,76,0,0,0,0,0,0,0
"9",3,"[2016-09-19 00:20:00,2016-09-19 00:40:00)",1,112,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1008.2,1013.2,329,2.8,22.2,76,0,0,0,0,0,0,0
"13",3,"[2016-09-19 00:40:00,2016-09-19 01:00:00)",1,93,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1008.2,1013.2,329,2.8,22.2,76,0,0,0,0,0,0,0
"18",3,"[2016-09-19 01:00:00,2016-09-19 01:20:00)",1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1008.2,1013.2,329,2.8,22.2,76,0,0,0,0,0,0,0
"22",3,"[2016-09-19 01:20:00,2016-09-19 01:40:00)",1,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1008.2,1013.2,329,2.8,22.2,76,0,0,0,0,0,0,0
"27",3,"[2016-09-19 01:40:00,2016-09-19 02:00:00)",1,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1008.2,1013.2,329,2.8,22.2,76,0,0,0,0,0,0,0
"31",3,"[2016-09-19 02:00:00,2016-09-19 02:20:00)",1,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1008.3,1013.3,15,4.5,24.4,67,0,181,112,93,4,5,4
"35",3,"[2016-09-19 02:20:00,2016-09-19 02:40:00)",1,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1008.3,1013.3,15,4.5,24.4,67,0,181,112,93,4,5,4
"42",3,"[2016-09-19 03:00:00,2016-09-19 03:20:00)",1,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1008.3,1013.3,15,4.5,24.4,67,0,181,112,93,4,5,4
"46",3,"[2016-09-19 03:20:00,2016-09-19 03:40:00)",1,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1008.3,1013.3,15,4.5,24.4,67,0,181,112,93,4,5,4
"50",3,"[2016-09-19 03:40:00,2016-09-19 04:00:00)",1,10,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1008.3,1013.3,15,4.5,24.4,67,0,181,112,93,4,5,4
"54",3,"[2016-09-19 04:00:00,2016-09-19 04:20:00)",1,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1008.3,1013.3,15,4.5,24.4,67,0,181,112,93,4,5,4
"58",3,"[2016-09-19 04:20:00,2016-09-19 04:40:00)",1,7,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1008.3,1013.3,15,4.5,24.4,67,0,5,4,5,3,10,4
"62",3,"[2016-09-19 04:40:00,2016-09-19 05:00:00)",1,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1008.3,1013.3,15,4.5,24.4,67,0,5,4,5,3,10,4
"67",3,"[2016-09-19 05:00:00,2016-09-19 05:20:00)",1,11,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1007.4,1012.3,12,6.2,26.8,56,0,5,4,5,3,10,4
"72",3,"[2016-09-19 05:20:00,2016-09-19 05:40:00)",1,7,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1007.4,1012.3,12,6.2,26.8,56,0,5,4,5,3,10,4
"77",3,"[2016-09-19 05:40:00,2016-09-19 06:00:00)",1,13,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1007.4,1012.3,12,6.2,26.8,56,0,5,4,5,3,10,4
"82",3,"[2016-09-19 06:00:00,2016-09-19 06:20:00)",1,30,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1007.4,1012.3,12,6.2,26.8,56,0,5,4,5,3,10,4
"87",3,"[2016-09-19 06:20:00,2016-09-19 06:40:00)",1,38,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1007.4,1012.3,12,6.2,26.8,56,0,7,3,11,7,13,30
"92",3,"[2016-09-19 06:40:00,2016-09-19 07:00:00)",1,65,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1007.4,1012.3,12,6.2,26.8,56,0,7,3,11,7,13,30
"97",3,"[2016-09-19 07:00:00,2016-09-19 07:20:00)",1,67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1007.4,1012.3,12,6.2,26.8,56,0,7,3,11,7,13,30
"102",3,"[2016-09-19 07:20:00,2016-09-19 07:40:00)",1,71,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1007.4,1012.3,12,6.2,26.8,56,0,7,3,11,7,13,30
"107",3,"[2016-09-19 07:40:00,2016-09-19 08:00:00)",1,103,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1007.4,1012.3,12,6.2,26.8,56,0,7,3,11,7,13,30
"112",3,"[2016-09-19 08:00:00,2016-09-19 08:20:00)",1,118,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1008.3,1013.3,351,5.3,23.8,72,0.1,7,3,11,7,13,30
"117",3,"[2016-09-19 08:20:00,2016-09-19 08:40:00)",1,168,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1008.3,1013.3,351,5.3,23.8,72,0.1,38,65,67,71,103,118
"122",3,"[2016-09-19 08:40:00,2016-09-19 09:00:00)",1,161,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1008.3,1013.3,351,5.3,23.8,72,0.1,38,65,67,71,103,118
"127",3,"[2016-09-19 09:00:00,2016-09-19 09:20:00)",1,145,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1008.3,1013.3,351,5.3,23.8,72,0.1,38,65,67,71,103,118
"132",3,"[2016-09-19 09:20:00,2016-09-19 09:40:00)",1,125,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1008.3,1013.3,351,5.3,23.8,72,0.1,38,65,67,71,103,118
"137",3,"[2016-09-19 09:40:00,2016-09-19 10:00:00)",1,116,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1008.3,1013.3,351,5.3,23.8,72,0.1,38,65,67,71,103,118
"142",3,"[2016-09-19 10:00:00,2016-09-19 10:20:00)",1,117,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1008.3,1013.3,351,5.3,23.8,72,0.1,38,65,67,71,103,118
