"","tollgate_id","time_window","direction","volume","Friday","Monday","Saturday","Sunday","Thursday","Tuesday","Wednesday","hour__0","hour__1","hour__2","hour__3","hour__4","hour__5","hour__6","hour__7","hour__8","hour__9","hour__10","hour__11","hour__12","hour__13","hour__14","hour__15","hour__16","hour__17","hour__18","hour__19","hour__20","hour__21","hour__22","hour__23","X0","X20","X40","holiday","pressure","sea_pressure","wind_direction","wind_speed","temperature","rel_humidity","precipitation","1","2","3","4","5","6","1","2","3","4","5","6"
"1",1,"[2016-09-19 00:00:00,2016-09-19 00:20:00)",0,13,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1008.2,1013.2,329,2.8,22.2,76,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",1,"[2016-09-19 00:20:00,2016-09-19 00:40:00)",0,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1008.2,1013.2,329,2.8,22.2,76,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",1,"[2016-09-19 00:40:00,2016-09-19 01:00:00)",0,9,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1008.2,1013.2,329,2.8,22.2,76,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",1,"[2016-09-19 01:00:00,2016-09-19 01:20:00)",0,10,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1008.2,1013.2,329,2.8,22.2,76,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",1,"[2016-09-19 01:20:00,2016-09-19 01:40:00)",0,14,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1008.2,1013.2,329,2.8,22.2,76,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",1,"[2016-09-19 01:40:00,2016-09-19 02:00:00)",0,10,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1008.2,1013.2,329,2.8,22.2,76,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",1,"[2016-09-19 02:00:00,2016-09-19 02:20:00)",0,7,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1008.3,1013.3,15,4.5,24.4,67,0,13,6,9,10,14,10,13,6,9,10,14,10
"32",1,"[2016-09-19 02:20:00,2016-09-19 02:40:00)",0,10,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1008.3,1013.3,15,4.5,24.4,67,0,13,6,9,10,14,10,13,6,9,10,14,10
"36",1,"[2016-09-19 02:40:00,2016-09-19 03:00:00)",0,6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1008.3,1013.3,15,4.5,24.4,67,0,13,6,9,10,14,10,13,6,9,10,14,10
"39",1,"[2016-09-19 03:00:00,2016-09-19 03:20:00)",0,9,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1008.3,1013.3,15,4.5,24.4,67,0,13,6,9,10,14,10,13,6,9,10,14,10
"43",1,"[2016-09-19 03:20:00,2016-09-19 03:40:00)",0,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1008.3,1013.3,15,4.5,24.4,67,0,13,6,9,10,14,10,13,6,9,10,14,10
"47",1,"[2016-09-19 03:40:00,2016-09-19 04:00:00)",0,9,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1008.3,1013.3,15,4.5,24.4,67,0,13,6,9,10,14,10,13,6,9,10,14,10
"51",1,"[2016-09-19 04:00:00,2016-09-19 04:20:00)",0,10,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1008.3,1013.3,15,4.5,24.4,67,0,7,10,6,9,4,9,7,10,6,9,4,9
"55",1,"[2016-09-19 04:20:00,2016-09-19 04:40:00)",0,13,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1008.3,1013.3,15,4.5,24.4,67,0,7,10,6,9,4,9,7,10,6,9,4,9
"59",1,"[2016-09-19 04:40:00,2016-09-19 05:00:00)",0,12,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1008.3,1013.3,15,4.5,24.4,67,0,7,10,6,9,4,9,7,10,6,9,4,9
"63",1,"[2016-09-19 05:00:00,2016-09-19 05:20:00)",0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1007.4,1012.3,12,6.2,26.8,56,0,7,10,6,9,4,9,7,10,6,9,4,9
"68",1,"[2016-09-19 05:20:00,2016-09-19 05:40:00)",0,8,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1007.4,1012.3,12,6.2,26.8,56,0,7,10,6,9,4,9,7,10,6,9,4,9
"73",1,"[2016-09-19 05:40:00,2016-09-19 06:00:00)",0,13,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1007.4,1012.3,12,6.2,26.8,56,0,7,10,6,9,4,9,7,10,6,9,4,9
"78",1,"[2016-09-19 06:00:00,2016-09-19 06:20:00)",0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1007.4,1012.3,12,6.2,26.8,56,0,10,13,12,2,8,13,10,13,12,2,8,13
"83",1,"[2016-09-19 06:20:00,2016-09-19 06:40:00)",0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1007.4,1012.3,12,6.2,26.8,56,0,10,13,12,2,8,13,10,13,12,2,8,13
