,link_id,length,width,lanes,in_top,out_top,lane_width,fork
0,100,58,3,1,105,111,3,False
1,101,84,3,1,116,121,3,False
2,102,131,9,3,115,109,3,False
3,103,23,12,4,111,"122,116",3,True
4,104,293,9,3,109,112,3,False
5,105,78,6,2,,100,3,False
6,106,15,3,1,121,113,3,False
7,107,34,9,3,123,108,3,False
8,108,40,9,3,107,"119,120",3,True
9,109,135,9,3,102,104,3,False
10,110,109,9,3,,123,3,False
11,111,121,12,4,"100,112",103,3,True
12,112,199,9,3,104,111,3,False
13,113,144,6,2,106,,3,False
14,114,198,3,1,119,118,3,False
15,115,107,9,3,,102,3,False
16,116,180,9,3,"118,103",101,3,True
17,117,136,3,1,120,,3,False
18,118,206,9,3,114,"116,122",3,True
19,119,9,3,1,108,114,3,False
20,120,6,3,1,108,117,3,False
21,121,118,3,1,101,106,3,False
22,122,197,3,1,"118,103",,3,True
23,123,59,9,3,110,107,3,False
