,date,weather_hour,pressure,sea_pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation
0,2016-07-01,0,1000.4,1005.3,225.0,2.1,26.4,94.0,0.0
1,2016-07-01,3,1000.5,1005.3,187.0,2.7,29.0,76.0,0.0
2,2016-07-01,6,998.9,1003.7,212.0,2.9,31.7,67.0,0.0
3,2016-07-01,9,998.7,1003.5,244.0,2.7,31.6,59.0,0.0
4,2016-07-01,12,999.7,1004.5,222.0,1.3,29.9,68.0,0.0
5,2016-07-01,15,1000.0,1004.8,102.0,1.6,27.8,82.0,0.0
6,2016-07-01,18,998.8,1003.6,202.0,1.9,26.0,89.0,0.0
7,2016-07-01,21,1000.2,1005.0,334.0,2.2,25.5,90.0,0.0
8,2016-07-02,0,1001.6,1006.4,315.0,1.8,26.8,82.0,0.0
9,2016-07-02,3,1002.4,1007.2,46.0,3.2,30.0,70.0,0.0
10,2016-07-02,6,1001.3,1006.2,37.0,2.2,29.3,80.0,1.0
11,2016-07-02,9,1001.9,1006.8,345.0,2.4,25.9,95.0,10.2
12,2016-07-02,12,1003.6,1008.5,113.0,1.0,25.1,94.0,0.2
13,2016-07-02,15,1002.4,1007.3,138.0,1.0,25.3,96.0,0.0
14,2016-07-02,18,1000.9,1005.8,221.0,0.7,25.4,96.0,0.0
15,2016-07-02,21,1000.9,1005.8,999017.0,0.1,25.2,98.0,0.0
16,2016-07-03,0,1001.5,1006.4,220.0,1.5,25.8,97.0,0.0
17,2016-07-03,3,1001.5,1006.4,200.0,1.6,27.0,93.0,0.1
18,2016-07-03,6,1000.8,1005.7,207.0,1.8,27.4,92.0,0.0
19,2016-07-03,9,1000.8,1005.7,223.0,1.1,27.7,91.0,0.1
20,2016-07-03,12,1001.6,1006.5,137.0,0.6,26.9,91.0,0.0
21,2016-07-03,15,1002.2,1007.1,173.0,0.4,26.0,96.0,0.1
22,2016-07-03,18,1000.5,1005.4,330.0,0.7,25.7,98.0,0.4
23,2016-07-03,21,1000.4,1005.3,999017.0,0.0,25.7,98.0,0.0
24,2016-07-04,0,1000.6,1005.5,176.0,2.0,26.3,97.0,0.0
25,2016-07-04,3,1000.5,1005.3,179.0,2.1,31.8,69.0,0.0
26,2016-07-04,6,999.7,1004.5,160.0,1.7,34.7,56.0,0.0
27,2016-07-04,9,998.8,1003.6,287.0,1.4,34.8,55.0,0.0
28,2016-07-04,12,1001.1,1006.0,340.0,1.0,29.7,78.0,0.0
29,2016-07-04,15,1001.1,1005.9,188.0,1.3,27.8,79.0,0.0
30,2016-07-04,18,1000.8,1005.6,188.0,2.2,27.7,80.0,0.0
31,2016-07-04,21,1002.8,1007.6,261.0,0.3,26.5,87.0,0.0
32,2016-07-05,0,1003.9,1008.7,205.0,2.0,28.9,78.0,0.0
33,2016-07-05,3,1004.7,1009.5,122.0,1.2,33.2,62.0,0.0
34,2016-07-05,6,1003.7,1008.5,192.0,3.2,34.8,53.0,0.0
35,2016-07-05,9,1004.4,1009.3,334.0,5.3,28.7,74.0,0.0
36,2016-07-05,12,1006.7,1011.6,287.0,0.7,25.7,91.0,0.7
37,2016-07-05,15,1006.8,1011.7,224.0,2.0,25.0,93.0,0.7
38,2016-07-05,18,1006.5,1011.3,205.0,1.0,24.7,96.0,0.0
39,2016-07-05,21,1006.8,1011.7,229.0,1.2,24.6,96.0,0.0
40,2016-07-06,0,1007.5,1012.4,188.0,1.4,26.0,90.0,0.0
41,2016-07-06,3,1007.5,1012.4,183.0,2.3,32.0,63.0,0.0
42,2016-07-06,6,1006.4,1011.2,98.0,2.2,34.7,54.0,0.0
43,2016-07-06,9,1004.8,1009.6,94.0,2.0,34.2,54.0,0.0
44,2016-07-06,12,1006.0,1010.9,348.0,2.6,30.5,76.0,0.0
45,2016-07-06,15,1006.4,1011.2,326.0,1.9,28.4,84.0,0.0
