"","tollgate_id","time_window","direction","volume","Friday","Monday","Saturday","Sunday","Thursday","Tuesday","Wednesday","hour__8","hour__9","hour__18","hour__19","X0","X20","X40","holiday","pressure","sea_pressure","wind_direction","wind_speed","temperature","rel_humidity","precipitation","1","2","3","4","5","6"
"109",1,"[2016-09-19 08:00:00,2016-09-19 08:20:00)",1,123,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1008.3,1013.3,351,5.3,23.8,72,0.1,0,0,0,0,0,0
"114",1,"[2016-09-19 08:20:00,2016-09-19 08:40:00)",1,119,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1008.3,1013.3,351,5.3,23.8,72,0.1,0,0,0,0,0,0
"119",1,"[2016-09-19 08:40:00,2016-09-19 09:00:00)",1,116,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1008.3,1013.3,351,5.3,23.8,72,0.1,0,0,0,0,0,0
"124",1,"[2016-09-19 09:00:00,2016-09-19 09:20:00)",1,120,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1008.3,1013.3,351,5.3,23.8,72,0.1,0,0,0,0,0,0
"129",1,"[2016-09-19 09:20:00,2016-09-19 09:40:00)",1,151,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1008.3,1013.3,351,5.3,23.8,72,0.1,0,0,0,0,0,0
"134",1,"[2016-09-19 09:40:00,2016-09-19 10:00:00)",1,131,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1008.3,1013.3,351,5.3,23.8,72,0.1,0,0,0,0,0,0
"259",1,"[2016-09-19 18:00:00,2016-09-19 18:20:00)",1,67,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1011.1,1016.1,333,2.4,20.2,75,0,123,119,116,120,151,131
"264",1,"[2016-09-19 18:20:00,2016-09-19 18:40:00)",1,94,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1011.1,1016.1,333,2.4,20.2,75,0,123,119,116,120,151,131
"269",1,"[2016-09-19 18:40:00,2016-09-19 19:00:00)",1,65,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1011.1,1016.1,333,2.4,20.2,75,0,123,119,116,120,151,131
"274",1,"[2016-09-19 19:00:00,2016-09-19 19:20:00)",1,62,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1011.1,1016.1,333,2.4,20.2,75,0,123,119,116,120,151,131
"279",1,"[2016-09-19 19:20:00,2016-09-19 19:40:00)",1,44,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1011.1,1016.1,333,2.4,20.2,75,0,123,119,116,120,151,131
"284",1,"[2016-09-19 19:40:00,2016-09-19 20:00:00)",1,41,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1011.1,1016.1,333,2.4,20.2,75,0,123,119,116,120,151,131
"457",1,"[2016-09-20 08:00:00,2016-09-20 08:20:00)",1,132,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1012.6,1017.6,11,4.5,25.4,42,0,67,94,65,62,44,41
"462",1,"[2016-09-20 08:20:00,2016-09-20 08:40:00)",1,151,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1012.6,1017.6,11,4.5,25.4,42,0,67,94,65,62,44,41
"467",1,"[2016-09-20 08:40:00,2016-09-20 09:00:00)",1,131,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1012.6,1017.6,11,4.5,25.4,42,0,67,94,65,62,44,41
"472",1,"[2016-09-20 09:00:00,2016-09-20 09:20:00)",1,150,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1012.6,1017.6,11,4.5,25.4,42,0,67,94,65,62,44,41
"477",1,"[2016-09-20 09:20:00,2016-09-20 09:40:00)",1,142,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1012.6,1017.6,11,4.5,25.4,42,0,67,94,65,62,44,41
"482",1,"[2016-09-20 09:40:00,2016-09-20 10:00:00)",1,173,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1012.6,1017.6,11,4.5,25.4,42,0,67,94,65,62,44,41
"607",1,"[2016-09-20 18:00:00,2016-09-20 18:20:00)",1,78,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1013.8,1018.8,327,1.4,19.4,74,0,132,151,131,150,142,173
"612",1,"[2016-09-20 18:20:00,2016-09-20 18:40:00)",1,60,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1013.8,1018.8,327,1.4,19.4,74,0,132,151,131,150,142,173
"617",1,"[2016-09-20 18:40:00,2016-09-20 19:00:00)",1,53,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1013.8,1018.8,327,1.4,19.4,74,0,132,151,131,150,142,173
"622",1,"[2016-09-20 19:00:00,2016-09-20 19:20:00)",1,44,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1013.8,1018.8,327,1.4,19.4,74,0,132,151,131,150,142,173
"627",1,"[2016-09-20 19:20:00,2016-09-20 19:40:00)",1,52,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1013.8,1018.8,327,1.4,19.4,74,0,132,151,131,150,142,173
"632",1,"[2016-09-20 19:40:00,2016-09-20 20:00:00)",1,49,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1013.8,1018.8,327,1.4,19.4,74,0,132,151,131,150,142,173
"806",1,"[2016-09-21 08:00:00,2016-09-21 08:20:00)",1,100,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1013.2,1018.2,348,1.5,24.9,67,0,78,60,53,44,52,49
"811",1,"[2016-09-21 08:20:00,2016-09-21 08:40:00)",1,105,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1013.2,1018.2,348,1.5,24.9,67,0,78,60,53,44,52,49
"816",1,"[2016-09-21 08:40:00,2016-09-21 09:00:00)",1,119,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1013.2,1018.2,348,1.5,24.9,67,0,78,60,53,44,52,49
"821",1,"[2016-09-21 09:00:00,2016-09-21 09:20:00)",1,137,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1013.2,1018.2,348,1.5,24.9,67,0,78,60,53,44,52,49
"826",1,"[2016-09-21 09:20:00,2016-09-21 09:40:00)",1,132,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1013.2,1018.2,348,1.5,24.9,67,0,78,60,53,44,52,49
"831",1,"[2016-09-21 09:40:00,2016-09-21 10:00:00)",1,122,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1013.2,1018.2,348,1.5,24.9,67,0,78,60,53,44,52,49
"956",1,"[2016-09-21 18:00:00,2016-09-21 18:20:00)",1,74,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1013.1,1018.1,341,1.7,20.2,94,0,100,105,119,137,132,122
"961",1,"[2016-09-21 18:20:00,2016-09-21 18:40:00)",1,85,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1013.1,1018.1,341,1.7,20.2,94,0,100,105,119,137,132,122
"966",1,"[2016-09-21 18:40:00,2016-09-21 19:00:00)",1,78,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1013.1,1018.1,341,1.7,20.2,94,0,100,105,119,137,132,122
"971",1,"[2016-09-21 19:00:00,2016-09-21 19:20:00)",1,46,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1013.1,1018.1,341,1.7,20.2,94,0,100,105,119,137,132,122
"976",1,"[2016-09-21 19:20:00,2016-09-21 19:40:00)",1,40,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1013.1,1018.1,341,1.7,20.2,94,0,100,105,119,137,132,122
"981",1,"[2016-09-21 19:40:00,2016-09-21 20:00:00)",1,49,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1013.1,1018.1,341,1.7,20.2,94,0,100,105,119,137,132,122
"1153",1,"[2016-09-22 08:00:00,2016-09-22 08:20:00)",1,106,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1010.6,1015.6,91,2.6,26.8,57,0,74,85,78,46,40,49
