,time_window,volume,hour__6,hour__7,hour__8,hour__9,hour__15,hour__16,hour__17,hour__18
45,"[2016-09-19 15:00:00,2016-09-19 15:20:00)",48,0,0,0,0,1,0,0,0
46,"[2016-09-19 15:20:00,2016-09-19 15:40:00)",57,0,0,0,0,1,0,0,0
47,"[2016-09-19 15:40:00,2016-09-19 16:00:00)",43,0,0,0,0,1,0,0,0
48,"[2016-09-19 16:00:00,2016-09-19 16:20:00)",42,0,0,0,0,0,1,0,0
49,"[2016-09-19 16:20:00,2016-09-19 16:40:00)",46,0,0,0,0,0,1,0,0
50,"[2016-09-19 16:40:00,2016-09-19 17:00:00)",55,0,0,0,0,0,1,0,0
51,"[2016-09-19 17:00:00,2016-09-19 17:20:00)",36,0,0,0,0,0,0,1,0
52,"[2016-09-19 17:20:00,2016-09-19 17:40:00)",34,0,0,0,0,0,0,1,0
53,"[2016-09-19 17:40:00,2016-09-19 18:00:00)",24,0,0,0,0,0,0,1,0
54,"[2016-09-19 18:00:00,2016-09-19 18:20:00)",29,0,0,0,0,0,0,0,1
55,"[2016-09-19 18:20:00,2016-09-19 18:40:00)",27,0,0,0,0,0,0,0,1
56,"[2016-09-19 18:40:00,2016-09-19 19:00:00)",18,0,0,0,0,0,0,0,1
117,"[2016-09-20 15:00:00,2016-09-20 15:20:00)",71,0,0,0,0,1,0,0,0
118,"[2016-09-20 15:20:00,2016-09-20 15:40:00)",64,0,0,0,0,1,0,0,0
119,"[2016-09-20 15:40:00,2016-09-20 16:00:00)",73,0,0,0,0,1,0,0,0
120,"[2016-09-20 16:00:00,2016-09-20 16:20:00)",48,0,0,0,0,0,1,0,0
121,"[2016-09-20 16:20:00,2016-09-20 16:40:00)",57,0,0,0,0,0,1,0,0
122,"[2016-09-20 16:40:00,2016-09-20 17:00:00)",48,0,0,0,0,0,1,0,0
123,"[2016-09-20 17:00:00,2016-09-20 17:20:00)",38,0,0,0,0,0,0,1,0
124,"[2016-09-20 17:20:00,2016-09-20 17:40:00)",42,0,0,0,0,0,0,1,0
125,"[2016-09-20 17:40:00,2016-09-20 18:00:00)",38,0,0,0,0,0,0,1,0
126,"[2016-09-20 18:00:00,2016-09-20 18:20:00)",26,0,0,0,0,0,0,0,1
127,"[2016-09-20 18:20:00,2016-09-20 18:40:00)",29,0,0,0,0,0,0,0,1
128,"[2016-09-20 18:40:00,2016-09-20 19:00:00)",20,0,0,0,0,0,0,0,1
189,"[2016-09-21 15:00:00,2016-09-21 15:20:00)",48,0,0,0,0,1,0,0,0
190,"[2016-09-21 15:20:00,2016-09-21 15:40:00)",46,0,0,0,0,1,0,0,0
191,"[2016-09-21 15:40:00,2016-09-21 16:00:00)",49,0,0,0,0,1,0,0,0
192,"[2016-09-21 16:00:00,2016-09-21 16:20:00)",46,0,0,0,0,0,1,0,0
193,"[2016-09-21 16:20:00,2016-09-21 16:40:00)",45,0,0,0,0,0,1,0,0
194,"[2016-09-21 16:40:00,2016-09-21 17:00:00)",46,0,0,0,0,0,1,0,0
195,"[2016-09-21 17:00:00,2016-09-21 17:20:00)",47,0,0,0,0,0,0,1,0
196,"[2016-09-21 17:20:00,2016-09-21 17:40:00)",35,0,0,0,0,0,0,1,0
197,"[2016-09-21 17:40:00,2016-09-21 18:00:00)",20,0,0,0,0,0,0,1,0
198,"[2016-09-21 18:00:00,2016-09-21 18:20:00)",20,0,0,0,0,0,0,0,1
199,"[2016-09-21 18:20:00,2016-09-21 18:40:00)",20,0,0,0,0,0,0,0,1
200,"[2016-09-21 18:40:00,2016-09-21 19:00:00)",24,0,0,0,0,0,0,0,1
261,"[2016-09-22 15:00:00,2016-09-22 15:20:00)",61,0,0,0,0,1,0,0,0
262,"[2016-09-22 15:20:00,2016-09-22 15:40:00)",48,0,0,0,0,1,0,0,0
263,"[2016-09-22 15:40:00,2016-09-22 16:00:00)",57,0,0,0,0,1,0,0,0
264,"[2016-09-22 16:00:00,2016-09-22 16:20:00)",58,0,0,0,0,0,1,0,0
265,"[2016-09-22 16:20:00,2016-09-22 16:40:00)",52,0,0,0,0,0,1,0,0
266,"[2016-09-22 16:40:00,2016-09-22 17:00:00)",42,0,0,0,0,0,1,0,0
267,"[2016-09-22 17:00:00,2016-09-22 17:20:00)",29,0,0,0,0,0,0,1,0
268,"[2016-09-22 17:20:00,2016-09-22 17:40:00)",36,0,0,0,0,0,0,1,0
269,"[2016-09-22 17:40:00,2016-09-22 18:00:00)",33,0,0,0,0,0,0,1,0
270,"[2016-09-22 18:00:00,2016-09-22 18:20:00)",26,0,0,0,0,0,0,0,1
271,"[2016-09-22 18:20:00,2016-09-22 18:40:00)",21,0,0,0,0,0,0,0,1
272,"[2016-09-22 18:40:00,2016-09-22 19:00:00)",24,0,0,0,0,0,0,0,1
333,"[2016-09-23 15:00:00,2016-09-23 15:20:00)",47,0,0,0,0,1,0,0,0
334,"[2016-09-23 15:20:00,2016-09-23 15:40:00)",66,0,0,0,0,1,0,0,0
335,"[2016-09-23 15:40:00,2016-09-23 16:00:00)",78,0,0,0,0,1,0,0,0
336,"[2016-09-23 16:00:00,2016-09-23 16:20:00)",76,0,0,0,0,0,1,0,0
337,"[2016-09-23 16:20:00,2016-09-23 16:40:00)",86,0,0,0,0,0,1,0,0
338,"[2016-09-23 16:40:00,2016-09-23 17:00:00)",44,0,0,0,0,0,1,0,0
339,"[2016-09-23 17:00:00,2016-09-23 17:20:00)",45,0,0,0,0,0,0,1,0
340,"[2016-09-23 17:20:00,2016-09-23 17:40:00)",38,0,0,0,0,0,0,1,0
341,"[2016-09-23 17:40:00,2016-09-23 18:00:00)",46,0,0,0,0,0,0,1,0
342,"[2016-09-23 18:00:00,2016-09-23 18:20:00)",40,0,0,0,0,0,0,0,1
343,"[2016-09-23 18:20:00,2016-09-23 18:40:00)",45,0,0,0,0,0,0,0,1
344,"[2016-09-23 18:40:00,2016-09-23 19:00:00)",32,0,0,0,0,0,0,0,1
405,"[2016-09-24 15:00:00,2016-09-24 15:20:00)",55,0,0,0,0,1,0,0,0
406,"[2016-09-24 15:20:00,2016-09-24 15:40:00)",63,0,0,0,0,1,0,0,0
407,"[2016-09-24 15:40:00,2016-09-24 16:00:00)",66,0,0,0,0,1,0,0,0
408,"[2016-09-24 16:00:00,2016-09-24 16:20:00)",81,0,0,0,0,0,1,0,0
409,"[2016-09-24 16:20:00,2016-09-24 16:40:00)",59,0,0,0,0,0,1,0,0
410,"[2016-09-24 16:40:00,2016-09-24 17:00:00)",48,0,0,0,0,0,1,0,0
411,"[2016-09-24 17:00:00,2016-09-24 17:20:00)",73,0,0,0,0,0,0,1,0
412,"[2016-09-24 17:20:00,2016-09-24 17:40:00)",55,0,0,0,0,0,0,1,0
413,"[2016-09-24 17:40:00,2016-09-24 18:00:00)",32,0,0,0,0,0,0,1,0
414,"[2016-09-24 18:00:00,2016-09-24 18:20:00)",42,0,0,0,0,0,0,0,1
415,"[2016-09-24 18:20:00,2016-09-24 18:40:00)",35,0,0,0,0,0,0,0,1
416,"[2016-09-24 18:40:00,2016-09-24 19:00:00)",54,0,0,0,0,0,0,0,1
477,"[2016-09-25 15:00:00,2016-09-25 15:20:00)",65,0,0,0,0,1,0,0,0
478,"[2016-09-25 15:20:00,2016-09-25 15:40:00)",61,0,0,0,0,1,0,0,0
479,"[2016-09-25 15:40:00,2016-09-25 16:00:00)",52,0,0,0,0,1,0,0,0
480,"[2016-09-25 16:00:00,2016-09-25 16:20:00)",70,0,0,0,0,0,1,0,0
481,"[2016-09-25 16:20:00,2016-09-25 16:40:00)",63,0,0,0,0,0,1,0,0
482,"[2016-09-25 16:40:00,2016-09-25 17:00:00)",73,0,0,0,0,0,1,0,0
483,"[2016-09-25 17:00:00,2016-09-25 17:20:00)",63,0,0,0,0,0,0,1,0
484,"[2016-09-25 17:20:00,2016-09-25 17:40:00)",49,0,0,0,0,0,0,1,0
485,"[2016-09-25 17:40:00,2016-09-25 18:00:00)",42,0,0,0,0,0,0,1,0
486,"[2016-09-25 18:00:00,2016-09-25 18:20:00)",56,0,0,0,0,0,0,0,1
487,"[2016-09-25 18:20:00,2016-09-25 18:40:00)",38,0,0,0,0,0,0,0,1
488,"[2016-09-25 18:40:00,2016-09-25 19:00:00)",31,0,0,0,0,0,0,0,1
549,"[2016-09-26 15:00:00,2016-09-26 15:20:00)",33,0,0,0,0,1,0,0,0
550,"[2016-09-26 15:20:00,2016-09-26 15:40:00)",51,0,0,0,0,1,0,0,0
551,"[2016-09-26 15:40:00,2016-09-26 16:00:00)",43,0,0,0,0,1,0,0,0
552,"[2016-09-26 16:00:00,2016-09-26 16:20:00)",44,0,0,0,0,0,1,0,0
553,"[2016-09-26 16:20:00,2016-09-26 16:40:00)",56,0,0,0,0,0,1,0,0
554,"[2016-09-26 16:40:00,2016-09-26 17:00:00)",46,0,0,0,0,0,1,0,0
555,"[2016-09-26 17:00:00,2016-09-26 17:20:00)",47,0,0,0,0,0,0,1,0
556,"[2016-09-26 17:20:00,2016-09-26 17:40:00)",42,0,0,0,0,0,0,1,0
557,"[2016-09-26 17:40:00,2016-09-26 18:00:00)",30,0,0,0,0,0,0,1,0
558,"[2016-09-26 18:00:00,2016-09-26 18:20:00)",33,0,0,0,0,0,0,0,1
559,"[2016-09-26 18:20:00,2016-09-26 18:40:00)",22,0,0,0,0,0,0,0,1
560,"[2016-09-26 18:40:00,2016-09-26 19:00:00)",29,0,0,0,0,0,0,0,1
621,"[2016-09-27 15:00:00,2016-09-27 15:20:00)",39,0,0,0,0,1,0,0,0
622,"[2016-09-27 15:20:00,2016-09-27 15:40:00)",47,0,0,0,0,1,0,0,0
623,"[2016-09-27 15:40:00,2016-09-27 16:00:00)",44,0,0,0,0,1,0,0,0
624,"[2016-09-27 16:00:00,2016-09-27 16:20:00)",58,0,0,0,0,0,1,0,0
625,"[2016-09-27 16:20:00,2016-09-27 16:40:00)",53,0,0,0,0,0,1,0,0
626,"[2016-09-27 16:40:00,2016-09-27 17:00:00)",48,0,0,0,0,0,1,0,0
627,"[2016-09-27 17:00:00,2016-09-27 17:20:00)",52,0,0,0,0,0,0,1,0
628,"[2016-09-27 17:20:00,2016-09-27 17:40:00)",77,0,0,0,0,0,0,1,0
629,"[2016-09-27 17:40:00,2016-09-27 18:00:00)",45,0,0,0,0,0,0,1,0
630,"[2016-09-27 18:00:00,2016-09-27 18:20:00)",30,0,0,0,0,0,0,0,1
631,"[2016-09-27 18:20:00,2016-09-27 18:40:00)",18,0,0,0,0,0,0,0,1
632,"[2016-09-27 18:40:00,2016-09-27 19:00:00)",12,0,0,0,0,0,0,0,1
693,"[2016-09-28 15:00:00,2016-09-28 15:20:00)",91,0,0,0,0,1,0,0,0
694,"[2016-09-28 15:20:00,2016-09-28 15:40:00)",97,0,0,0,0,1,0,0,0
695,"[2016-09-28 15:40:00,2016-09-28 16:00:00)",88,0,0,0,0,1,0,0,0
696,"[2016-09-28 16:00:00,2016-09-28 16:20:00)",105,0,0,0,0,0,1,0,0
697,"[2016-09-28 16:20:00,2016-09-28 16:40:00)",97,0,0,0,0,0,1,0,0
698,"[2016-09-28 16:40:00,2016-09-28 17:00:00)",45,0,0,0,0,0,1,0,0
699,"[2016-09-28 17:00:00,2016-09-28 17:20:00)",31,0,0,0,0,0,0,1,0
700,"[2016-09-28 17:20:00,2016-09-28 17:40:00)",37,0,0,0,0,0,0,1,0
701,"[2016-09-28 17:40:00,2016-09-28 18:00:00)",31,0,0,0,0,0,0,1,0
702,"[2016-09-28 18:00:00,2016-09-28 18:20:00)",26,0,0,0,0,0,0,0,1
703,"[2016-09-28 18:20:00,2016-09-28 18:40:00)",24,0,0,0,0,0,0,0,1
704,"[2016-09-28 18:40:00,2016-09-28 19:00:00)",18,0,0,0,0,0,0,0,1
765,"[2016-09-29 15:00:00,2016-09-29 15:20:00)",53,0,0,0,0,1,0,0,0
766,"[2016-09-29 15:20:00,2016-09-29 15:40:00)",65,0,0,0,0,1,0,0,0
767,"[2016-09-29 15:40:00,2016-09-29 16:00:00)",53,0,0,0,0,1,0,0,0
768,"[2016-09-29 16:00:00,2016-09-29 16:20:00)",60,0,0,0,0,0,1,0,0
769,"[2016-09-29 16:20:00,2016-09-29 16:40:00)",50,0,0,0,0,0,1,0,0
770,"[2016-09-29 16:40:00,2016-09-29 17:00:00)",47,0,0,0,0,0,1,0,0
771,"[2016-09-29 17:00:00,2016-09-29 17:20:00)",30,0,0,0,0,0,0,1,0
772,"[2016-09-29 17:20:00,2016-09-29 17:40:00)",30,0,0,0,0,0,0,1,0
773,"[2016-09-29 17:40:00,2016-09-29 18:00:00)",30,0,0,0,0,0,0,1,0
774,"[2016-09-29 18:00:00,2016-09-29 18:20:00)",22,0,0,0,0,0,0,0,1
775,"[2016-09-29 18:20:00,2016-09-29 18:40:00)",26,0,0,0,0,0,0,0,1
776,"[2016-09-29 18:40:00,2016-09-29 19:00:00)",25,0,0,0,0,0,0,0,1
837,"[2016-09-30 15:00:00,2016-09-30 15:20:00)",75,0,0,0,0,1,0,0,0
838,"[2016-09-30 15:20:00,2016-09-30 15:40:00)",80,0,0,0,0,1,0,0,0
839,"[2016-09-30 15:40:00,2016-09-30 16:00:00)",124,0,0,0,0,1,0,0,0
840,"[2016-09-30 16:00:00,2016-09-30 16:20:00)",130,0,0,0,0,0,1,0,0
841,"[2016-09-30 16:20:00,2016-09-30 16:40:00)",132,0,0,0,0,0,1,0,0
842,"[2016-09-30 16:40:00,2016-09-30 17:00:00)",117,0,0,0,0,0,1,0,0
843,"[2016-09-30 17:00:00,2016-09-30 17:20:00)",87,0,0,0,0,0,0,1,0
844,"[2016-09-30 17:20:00,2016-09-30 17:40:00)",98,0,0,0,0,0,0,1,0
845,"[2016-09-30 17:40:00,2016-09-30 18:00:00)",133,0,0,0,0,0,0,1,0
846,"[2016-09-30 18:00:00,2016-09-30 18:20:00)",137,0,0,0,0,0,0,0,1
847,"[2016-09-30 18:20:00,2016-09-30 18:40:00)",172,0,0,0,0,0,0,0,1
848,"[2016-09-30 18:40:00,2016-09-30 19:00:00)",156,0,0,0,0,0,0,0,1
909,"[2016-10-01 15:00:00,2016-10-01 15:20:00)",203,0,0,0,0,1,0,0,0
910,"[2016-10-01 15:20:00,2016-10-01 15:40:00)",183,0,0,0,0,1,0,0,0
911,"[2016-10-01 15:40:00,2016-10-01 16:00:00)",179,0,0,0,0,1,0,0,0
912,"[2016-10-01 16:00:00,2016-10-01 16:20:00)",188,0,0,0,0,0,1,0,0
913,"[2016-10-01 16:20:00,2016-10-01 16:40:00)",208,0,0,0,0,0,1,0,0
914,"[2016-10-01 16:40:00,2016-10-01 17:00:00)",162,0,0,0,0,0,1,0,0
915,"[2016-10-01 17:00:00,2016-10-01 17:20:00)",161,0,0,0,0,0,0,1,0
916,"[2016-10-01 17:20:00,2016-10-01 17:40:00)",134,0,0,0,0,0,0,1,0
917,"[2016-10-01 17:40:00,2016-10-01 18:00:00)",97,0,0,0,0,0,0,1,0
918,"[2016-10-01 18:00:00,2016-10-01 18:20:00)",99,0,0,0,0,0,0,0,1
919,"[2016-10-01 18:20:00,2016-10-01 18:40:00)",82,0,0,0,0,0,0,0,1
920,"[2016-10-01 18:40:00,2016-10-01 19:00:00)",89,0,0,0,0,0,0,0,1
980,"[2016-10-02 15:00:00,2016-10-02 15:20:00)",182,0,0,0,0,1,0,0,0
981,"[2016-10-02 15:20:00,2016-10-02 15:40:00)",170,0,0,0,0,1,0,0,0
982,"[2016-10-02 15:40:00,2016-10-02 16:00:00)",167,0,0,0,0,1,0,0,0
983,"[2016-10-02 16:00:00,2016-10-02 16:20:00)",162,0,0,0,0,0,1,0,0
984,"[2016-10-02 16:20:00,2016-10-02 16:40:00)",168,0,0,0,0,0,1,0,0
985,"[2016-10-02 16:40:00,2016-10-02 17:00:00)",127,0,0,0,0,0,1,0,0
