,intersection_id,tollgate_id,time_window,avg_travel_time,time,date,hour,weekday,nummin
0,B,3,"[2016-07-19 00:00:00,2016-07-19 00:20:00)",70.85,2016-07-19 00:00:00,2016-07-19,00:00:00,1,1
1,B,3,"[2016-07-19 00:20:00,2016-07-19 00:40:00)",148.79,2016-07-19 00:20:00,2016-07-19,00:20:00,1,2
2,B,3,"[2016-07-19 01:40:00,2016-07-19 02:00:00)",93.72,2016-07-19 01:40:00,2016-07-19,01:40:00,1,3
3,B,3,"[2016-07-19 02:00:00,2016-07-19 02:20:00)",67.81,2016-07-19 02:00:00,2016-07-19,02:00:00,1,4
4,B,3,"[2016-07-19 02:40:00,2016-07-19 03:00:00)",167.55,2016-07-19 02:40:00,2016-07-19,02:40:00,1,5
5,B,3,"[2016-07-19 03:40:00,2016-07-19 04:00:00)",98.49,2016-07-19 03:40:00,2016-07-19,03:40:00,1,6
6,B,3,"[2016-07-19 04:00:00,2016-07-19 04:20:00)",96.67,2016-07-19 04:00:00,2016-07-19,04:00:00,1,7
7,B,3,"[2016-07-19 04:20:00,2016-07-19 04:40:00)",53.15,2016-07-19 04:20:00,2016-07-19,04:20:00,1,8
8,B,3,"[2016-07-19 04:40:00,2016-07-19 05:00:00)",55.25,2016-07-19 04:40:00,2016-07-19,04:40:00,1,9
9,B,3,"[2016-07-19 05:00:00,2016-07-19 05:20:00)",209.66,2016-07-19 05:00:00,2016-07-19,05:00:00,1,10
10,B,3,"[2016-07-19 06:00:00,2016-07-19 06:20:00)",145.94,2016-07-19 06:00:00,2016-07-19,06:00:00,1,11
11,B,3,"[2016-07-19 06:20:00,2016-07-19 06:40:00)",127.35,2016-07-19 06:20:00,2016-07-19,06:20:00,1,12
12,B,3,"[2016-07-19 06:40:00,2016-07-19 07:00:00)",97.2,2016-07-19 06:40:00,2016-07-19,06:40:00,1,13
13,B,3,"[2016-07-19 07:00:00,2016-07-19 07:20:00)",118.43,2016-07-19 07:00:00,2016-07-19,07:00:00,1,14
14,B,3,"[2016-07-19 07:20:00,2016-07-19 07:40:00)",82.63,2016-07-19 07:20:00,2016-07-19,07:20:00,1,15
15,B,3,"[2016-07-19 07:40:00,2016-07-19 08:00:00)",110.5,2016-07-19 07:40:00,2016-07-19,07:40:00,1,16
16,B,3,"[2016-07-19 08:00:00,2016-07-19 08:20:00)",125.76,2016-07-19 08:00:00,2016-07-19,08:00:00,1,17
17,B,3,"[2016-07-19 08:20:00,2016-07-19 08:40:00)",141.33,2016-07-19 08:20:00,2016-07-19,08:20:00,1,18
18,B,3,"[2016-07-19 08:40:00,2016-07-19 09:00:00)",176.08,2016-07-19 08:40:00,2016-07-19,08:40:00,1,19
19,B,3,"[2016-07-19 09:00:00,2016-07-19 09:20:00)",165.29,2016-07-19 09:00:00,2016-07-19,09:00:00,1,20
20,B,3,"[2016-07-19 09:20:00,2016-07-19 09:40:00)",127.38,2016-07-19 09:20:00,2016-07-19,09:20:00,1,21
21,B,3,"[2016-07-19 09:40:00,2016-07-19 10:00:00)",117.83,2016-07-19 09:40:00,2016-07-19,09:40:00,1,22
22,B,3,"[2016-07-19 10:00:00,2016-07-19 10:20:00)",98.92,2016-07-19 10:00:00,2016-07-19,10:00:00,1,23
23,B,3,"[2016-07-19 10:20:00,2016-07-19 10:40:00)",113.0,2016-07-19 10:20:00,2016-07-19,10:20:00,1,24
24,B,3,"[2016-07-19 10:40:00,2016-07-19 11:00:00)",98.15,2016-07-19 10:40:00,2016-07-19,10:40:00,1,25
25,B,3,"[2016-07-19 11:00:00,2016-07-19 11:20:00)",95.98,2016-07-19 11:00:00,2016-07-19,11:00:00,1,26
26,B,3,"[2016-07-19 11:20:00,2016-07-19 11:40:00)",84.36,2016-07-19 11:20:00,2016-07-19,11:20:00,1,27
27,B,3,"[2016-07-19 11:40:00,2016-07-19 12:00:00)",96.54,2016-07-19 11:40:00,2016-07-19,11:40:00,1,28
28,B,3,"[2016-07-19 12:00:00,2016-07-19 12:20:00)",144.87,2016-07-19 12:00:00,2016-07-19,12:00:00,1,29
29,B,3,"[2016-07-19 12:20:00,2016-07-19 12:40:00)",136.36,2016-07-19 12:20:00,2016-07-19,12:20:00,1,30
30,B,3,"[2016-07-19 12:40:00,2016-07-19 13:00:00)",129.5,2016-07-19 12:40:00,2016-07-19,12:40:00,1,31
31,B,3,"[2016-07-19 13:00:00,2016-07-19 13:20:00)",116.47,2016-07-19 13:00:00,2016-07-19,13:00:00,1,32
