"","tollgate_id","time_window","direction","volume","Friday","Monday","Saturday","Sunday","Thursday","Tuesday","Wednesday","hour__8","hour__9","hour__18","hour__19","X0","X20","X40","holiday","pressure","sea_pressure","wind_direction","wind_speed","temperature","rel_humidity","precipitation","1","2","3","4","5","6"
"112",3,"[2016-09-19 08:00:00,2016-09-19 08:20:00)",1,118,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1008.3,1013.3,351,5.3,23.8,72,0.1,0,0,0,0,0,0
"117",3,"[2016-09-19 08:20:00,2016-09-19 08:40:00)",1,168,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1008.3,1013.3,351,5.3,23.8,72,0.1,0,0,0,0,0,0
"122",3,"[2016-09-19 08:40:00,2016-09-19 09:00:00)",1,161,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1008.3,1013.3,351,5.3,23.8,72,0.1,0,0,0,0,0,0
"127",3,"[2016-09-19 09:00:00,2016-09-19 09:20:00)",1,145,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1008.3,1013.3,351,5.3,23.8,72,0.1,0,0,0,0,0,0
"132",3,"[2016-09-19 09:20:00,2016-09-19 09:40:00)",1,125,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1008.3,1013.3,351,5.3,23.8,72,0.1,0,0,0,0,0,0
"137",3,"[2016-09-19 09:40:00,2016-09-19 10:00:00)",1,116,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1008.3,1013.3,351,5.3,23.8,72,0.1,0,0,0,0,0,0
"262",3,"[2016-09-19 18:00:00,2016-09-19 18:20:00)",1,73,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1011.1,1016.1,333,2.4,20.2,75,0,118,168,161,145,125,116
"267",3,"[2016-09-19 18:20:00,2016-09-19 18:40:00)",1,78,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1011.1,1016.1,333,2.4,20.2,75,0,118,168,161,145,125,116
"272",3,"[2016-09-19 18:40:00,2016-09-19 19:00:00)",1,77,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1011.1,1016.1,333,2.4,20.2,75,0,118,168,161,145,125,116
"277",3,"[2016-09-19 19:00:00,2016-09-19 19:20:00)",1,44,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1011.1,1016.1,333,2.4,20.2,75,0,118,168,161,145,125,116
"282",3,"[2016-09-19 19:20:00,2016-09-19 19:40:00)",1,45,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1011.1,1016.1,333,2.4,20.2,75,0,118,168,161,145,125,116
"287",3,"[2016-09-19 19:40:00,2016-09-19 20:00:00)",1,46,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1011.1,1016.1,333,2.4,20.2,75,0,118,168,161,145,125,116
"460",3,"[2016-09-20 08:00:00,2016-09-20 08:20:00)",1,154,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1012.6,1017.6,11,4.5,25.4,42,0,73,78,77,44,45,46
"465",3,"[2016-09-20 08:20:00,2016-09-20 08:40:00)",1,209,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1012.6,1017.6,11,4.5,25.4,42,0,73,78,77,44,45,46
"470",3,"[2016-09-20 08:40:00,2016-09-20 09:00:00)",1,210,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1012.6,1017.6,11,4.5,25.4,42,0,73,78,77,44,45,46
"475",3,"[2016-09-20 09:00:00,2016-09-20 09:20:00)",1,191,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1012.6,1017.6,11,4.5,25.4,42,0,73,78,77,44,45,46
