,intersection_id,tollgate_id,time_window,avg_travel_time,time,date,hour,weekday,nummin
0,B,3,"[2016-07-19 00:00:00,2016-07-19 00:20:00)",70.85,2016-07-19 00:00:00,2016-07-19,00:00:00,1,1
1,B,3,"[2016-07-19 00:20:00,2016-07-19 00:40:00)",148.79,2016-07-19 00:20:00,2016-07-19,00:20:00,1,2
2,B,3,"[2016-07-19 01:40:00,2016-07-19 02:00:00)",93.72,2016-07-19 01:40:00,2016-07-19,01:40:00,1,6
3,B,3,"[2016-07-19 02:00:00,2016-07-19 02:20:00)",67.81,2016-07-19 02:00:00,2016-07-19,02:00:00,1,7
4,B,3,"[2016-07-19 02:40:00,2016-07-19 03:00:00)",167.55,2016-07-19 02:40:00,2016-07-19,02:40:00,1,9
5,B,3,"[2016-07-19 03:40:00,2016-07-19 04:00:00)",98.49,2016-07-19 03:40:00,2016-07-19,03:40:00,1,12
6,B,3,"[2016-07-19 04:00:00,2016-07-19 04:20:00)",96.67,2016-07-19 04:00:00,2016-07-19,04:00:00,1,13
7,B,3,"[2016-07-19 04:20:00,2016-07-19 04:40:00)",53.15,2016-07-19 04:20:00,2016-07-19,04:20:00,1,14
8,B,3,"[2016-07-19 04:40:00,2016-07-19 05:00:00)",55.25,2016-07-19 04:40:00,2016-07-19,04:40:00,1,15
9,B,3,"[2016-07-19 05:00:00,2016-07-19 05:20:00)",209.66,2016-07-19 05:00:00,2016-07-19,05:00:00,1,16
10,B,3,"[2016-07-19 06:00:00,2016-07-19 06:20:00)",145.94,2016-07-19 06:00:00,2016-07-19,06:00:00,1,19
11,B,3,"[2016-07-19 06:20:00,2016-07-19 06:40:00)",127.35,2016-07-19 06:20:00,2016-07-19,06:20:00,1,20
12,B,3,"[2016-07-19 06:40:00,2016-07-19 07:00:00)",97.2,2016-07-19 06:40:00,2016-07-19,06:40:00,1,21
13,B,3,"[2016-07-19 07:00:00,2016-07-19 07:20:00)",118.43,2016-07-19 07:00:00,2016-07-19,07:00:00,1,22
14,B,3,"[2016-07-19 07:20:00,2016-07-19 07:40:00)",82.63,2016-07-19 07:20:00,2016-07-19,07:20:00,1,23
15,B,3,"[2016-07-19 07:40:00,2016-07-19 08:00:00)",110.5,2016-07-19 07:40:00,2016-07-19,07:40:00,1,24
16,B,3,"[2016-07-19 08:00:00,2016-07-19 08:20:00)",125.76,2016-07-19 08:00:00,2016-07-19,08:00:00,1,25
17,B,3,"[2016-07-19 08:20:00,2016-07-19 08:40:00)",141.33,2016-07-19 08:20:00,2016-07-19,08:20:00,1,26
18,B,3,"[2016-07-19 08:40:00,2016-07-19 09:00:00)",176.08,2016-07-19 08:40:00,2016-07-19,08:40:00,1,27
19,B,3,"[2016-07-19 09:00:00,2016-07-19 09:20:00)",165.29,2016-07-19 09:00:00,2016-07-19,09:00:00,1,28
20,B,3,"[2016-07-19 09:20:00,2016-07-19 09:40:00)",127.38,2016-07-19 09:20:00,2016-07-19,09:20:00,1,29
21,B,3,"[2016-07-19 09:40:00,2016-07-19 10:00:00)",117.83,2016-07-19 09:40:00,2016-07-19,09:40:00,1,30
22,B,3,"[2016-07-19 10:00:00,2016-07-19 10:20:00)",98.92,2016-07-19 10:00:00,2016-07-19,10:00:00,1,31
23,B,3,"[2016-07-19 10:20:00,2016-07-19 10:40:00)",113.0,2016-07-19 10:20:00,2016-07-19,10:20:00,1,32
24,B,3,"[2016-07-19 10:40:00,2016-07-19 11:00:00)",98.15,2016-07-19 10:40:00,2016-07-19,10:40:00,1,33
25,B,3,"[2016-07-19 11:00:00,2016-07-19 11:20:00)",95.98,2016-07-19 11:00:00,2016-07-19,11:00:00,1,34
26,B,3,"[2016-07-19 11:20:00,2016-07-19 11:40:00)",84.36,2016-07-19 11:20:00,2016-07-19,11:20:00,1,35
27,B,3,"[2016-07-19 11:40:00,2016-07-19 12:00:00)",96.54,2016-07-19 11:40:00,2016-07-19,11:40:00,1,36
28,B,3,"[2016-07-19 12:00:00,2016-07-19 12:20:00)",144.87,2016-07-19 12:00:00,2016-07-19,12:00:00,1,37
29,B,3,"[2016-07-19 12:20:00,2016-07-19 12:40:00)",136.36,2016-07-19 12:20:00,2016-07-19,12:20:00,1,38
30,B,3,"[2016-07-19 12:40:00,2016-07-19 13:00:00)",129.5,2016-07-19 12:40:00,2016-07-19,12:40:00,1,39
31,B,3,"[2016-07-19 13:00:00,2016-07-19 13:20:00)",116.47,2016-07-19 13:00:00,2016-07-19,13:00:00,1,40
