,Unnamed: 0,time_window,volume,hour__6,hour__7,hour__8,hour__9,hour__15,hour__16,hour__17,hour__18,date
0,18,06:20:00),8,1,0,0,0,0,0,0,0,[2016-09-19
1,19,06:40:00),13,1,0,0,0,0,0,0,0,[2016-09-19
2,20,07:00:00),32,1,0,0,0,0,0,0,0,[2016-09-19
3,21,07:20:00),39,0,1,0,0,0,0,0,0,[2016-09-19
4,22,07:40:00),31,0,1,0,0,0,0,0,0,[2016-09-19
5,23,08:00:00),43,0,1,0,0,0,0,0,0,[2016-09-19
6,24,08:20:00),46,0,0,1,0,0,0,0,0,[2016-09-19
7,25,08:40:00),56,0,0,1,0,0,0,0,0,[2016-09-19
8,26,09:00:00),41,0,0,1,0,0,0,0,0,[2016-09-19
9,27,09:20:00),50,0,0,0,1,0,0,0,0,[2016-09-19
10,28,09:40:00),49,0,0,0,1,0,0,0,0,[2016-09-19
11,29,10:00:00),44,0,0,0,1,0,0,0,0,[2016-09-19
12,90,06:20:00),13,1,0,0,0,0,0,0,0,[2016-09-20
13,91,06:40:00),20,1,0,0,0,0,0,0,0,[2016-09-20
14,92,07:00:00),29,1,0,0,0,0,0,0,0,[2016-09-20
15,93,07:20:00),38,0,1,0,0,0,0,0,0,[2016-09-20
16,94,07:40:00),30,0,1,0,0,0,0,0,0,[2016-09-20
17,95,08:00:00),31,0,1,0,0,0,0,0,0,[2016-09-20
18,96,08:20:00),53,0,0,1,0,0,0,0,0,[2016-09-20
19,97,08:40:00),50,0,0,1,0,0,0,0,0,[2016-09-20
20,98,09:00:00),45,0,0,1,0,0,0,0,0,[2016-09-20
21,99,09:20:00),51,0,0,0,1,0,0,0,0,[2016-09-20
22,100,09:40:00),68,0,0,0,1,0,0,0,0,[2016-09-20
23,101,10:00:00),59,0,0,0,1,0,0,0,0,[2016-09-20
24,162,06:20:00),36,1,0,0,0,0,0,0,0,[2016-09-21
25,163,06:40:00),41,1,0,0,0,0,0,0,0,[2016-09-21
26,164,07:00:00),75,1,0,0,0,0,0,0,0,[2016-09-21
27,165,07:20:00),78,0,1,0,0,0,0,0,0,[2016-09-21
28,166,07:40:00),84,0,1,0,0,0,0,0,0,[2016-09-21
29,167,08:00:00),95,0,1,0,0,0,0,0,0,[2016-09-21
30,168,08:20:00),122,0,0,1,0,0,0,0,0,[2016-09-21
31,169,08:40:00),126,0,0,1,0,0,0,0,0,[2016-09-21
32,170,09:00:00),77,0,0,1,0,0,0,0,0,[2016-09-21
33,171,09:20:00),49,0,0,0,1,0,0,0,0,[2016-09-21
34,172,09:40:00),55,0,0,0,1,0,0,0,0,[2016-09-21
35,173,10:00:00),53,0,0,0,1,0,0,0,0,[2016-09-21
36,234,06:20:00),6,1,0,0,0,0,0,0,0,[2016-09-22
37,235,06:40:00),10,1,0,0,0,0,0,0,0,[2016-09-22
38,236,07:00:00),36,1,0,0,0,0,0,0,0,[2016-09-22
39,237,07:20:00),28,0,1,0,0,0,0,0,0,[2016-09-22
40,238,07:40:00),40,0,1,0,0,0,0,0,0,[2016-09-22
41,239,08:00:00),34,0,1,0,0,0,0,0,0,[2016-09-22
42,240,08:20:00),50,0,0,1,0,0,0,0,0,[2016-09-22
43,241,08:40:00),58,0,0,1,0,0,0,0,0,[2016-09-22
44,242,09:00:00),51,0,0,1,0,0,0,0,0,[2016-09-22
45,243,09:20:00),43,0,0,0,1,0,0,0,0,[2016-09-22
46,244,09:40:00),52,0,0,0,1,0,0,0,0,[2016-09-22
47,245,10:00:00),59,0,0,0,1,0,0,0,0,[2016-09-22
48,306,06:20:00),12,1,0,0,0,0,0,0,0,[2016-09-23
