,time_window,volume,hour__6,hour__7,hour__8,hour__9,hour__15,hour__16,hour__17,hour__18
18,"[2016-09-19 06:00:00,2016-09-19 06:20:00)",8,1,0,0,0,0,0,0,0
19,"[2016-09-19 06:20:00,2016-09-19 06:40:00)",13,1,0,0,0,0,0,0,0
20,"[2016-09-19 06:40:00,2016-09-19 07:00:00)",32,1,0,0,0,0,0,0,0
21,"[2016-09-19 07:00:00,2016-09-19 07:20:00)",39,0,1,0,0,0,0,0,0
22,"[2016-09-19 07:20:00,2016-09-19 07:40:00)",31,0,1,0,0,0,0,0,0
23,"[2016-09-19 07:40:00,2016-09-19 08:00:00)",43,0,1,0,0,0,0,0,0
24,"[2016-09-19 08:00:00,2016-09-19 08:20:00)",46,0,0,1,0,0,0,0,0
25,"[2016-09-19 08:20:00,2016-09-19 08:40:00)",56,0,0,1,0,0,0,0,0
26,"[2016-09-19 08:40:00,2016-09-19 09:00:00)",41,0,0,1,0,0,0,0,0
27,"[2016-09-19 09:00:00,2016-09-19 09:20:00)",50,0,0,0,1,0,0,0,0
28,"[2016-09-19 09:20:00,2016-09-19 09:40:00)",49,0,0,0,1,0,0,0,0
29,"[2016-09-19 09:40:00,2016-09-19 10:00:00)",44,0,0,0,1,0,0,0,0
90,"[2016-09-20 06:00:00,2016-09-20 06:20:00)",13,1,0,0,0,0,0,0,0
91,"[2016-09-20 06:20:00,2016-09-20 06:40:00)",20,1,0,0,0,0,0,0,0
92,"[2016-09-20 06:40:00,2016-09-20 07:00:00)",29,1,0,0,0,0,0,0,0
93,"[2016-09-20 07:00:00,2016-09-20 07:20:00)",38,0,1,0,0,0,0,0,0
94,"[2016-09-20 07:20:00,2016-09-20 07:40:00)",30,0,1,0,0,0,0,0,0
95,"[2016-09-20 07:40:00,2016-09-20 08:00:00)",31,0,1,0,0,0,0,0,0
96,"[2016-09-20 08:00:00,2016-09-20 08:20:00)",53,0,0,1,0,0,0,0,0
97,"[2016-09-20 08:20:00,2016-09-20 08:40:00)",50,0,0,1,0,0,0,0,0
98,"[2016-09-20 08:40:00,2016-09-20 09:00:00)",45,0,0,1,0,0,0,0,0
