tollgate_id,time_window,direction,volume,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,hour__0,hour__1,hour__2,hour__3,hour__4,hour__5,hour__6,hour__7,hour__8,hour__9,hour__10,hour__11,hour__12,hour__13,hour__14,hour__15,hour__16,hour__17,hour__18,hour__19,hour__20,hour__21,hour__22,hour__23,0,20,40,holiday,pressure,sea_pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1013.0,1018.0,205.0,0.6,20.9,94.0,1.8
1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",1,37,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1013.0,1018.0,205.0,0.6,20.9,94.0,1.8
2,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",0,24,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1013.0,1018.0,205.0,0.6,20.9,94.0,1.8
3,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",0,30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1013.0,1018.0,205.0,0.6,20.9,94.0,1.8
3,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",1,23,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,1013.0,1018.0,205.0,0.6,20.9,94.0,1.8
1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",0,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1013.0,1018.0,205.0,0.6,20.9,94.0,1.8
1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",1,47,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1013.0,1018.0,205.0,0.6,20.9,94.0,1.8
2,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",0,36,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1013.0,1018.0,205.0,0.6,20.9,94.0,1.8
3,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",0,42,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1013.0,1018.0,205.0,0.6,20.9,94.0,1.8
3,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",1,29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1013.0,1018.0,205.0,0.6,20.9,94.0,1.8
